product_id,brand_id,category_id,product_name,price,average_rating,highlight,description,ingredients,usage_instructions,product_url,product_image,brand,category,created_at,updated_at,deleted_at
82,,,Triclone Skin Tech™ Foundation,RM248.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/haus-labs-by-lady-gaga-triclone-skin-tech-foundation/v/590-deep-neutral,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840073505428-Haus-Labs-by-Lady-Gaga-Triclone-Skin-_d31eb44848813b56574c61c9ff57ff3c363a62c5_1744114987.png?o=clean,Haus Labs by Lady Gaga,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
83,,,Mini Radiant Creamy Concealer,RM68.00,,[],,,,https://www.sephora.my/products/nars-mini-radiant-creamy-concealer/v/ginger,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_607845019848-NARS-Mini-Radiant-Creamy-Concealer-Ginger-e8b686_2d0feb272e43327423ad85c011cf5a5d71306a4e_1704455935.png,NARS,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
84,,,Colorful Blush,RM75.00RM52.5030% OFF,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-colorful-blush/v/48-free-spirit,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872180616-Sephora-Collection-Colorful-Blush-48_981ea57b652a71db5a1e3a5c0170321dc4e62747_1708923224.png?o=clean,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
85,,,Correcting Cream Veil,RM300.00,,[],,,,https://www.sephora.my/products/cle-de-peau-correcting-cream-veil/v/37ml,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_729238161825-Cle-De-Peau-Correcting-Cream-Veil-37ml_b18a16903959d72f9175556ef5dc1a1065aeb279_1626109550.png,Cle De Peau,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
86,,,Lustreglass Sheer-Shine Lipstick,RM130.00,,[],,,,https://www.sephora.my/products/mac-cosmetics-lustreglass-sheer-shine-lipstick/v/business-casual,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_773602609833-MAC-Cosmetics-Lustreglass-Sheer-Shine_9c9e3cc4427669134eb2e9ca09eb975ce5265ace_1718194042.png,MAC Cosmetics,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
87,,,Shape Tape™ Ultra Creamy Concealer Travel-Size,RM64.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/tarte-shape-tape-ultra-creamy-concealer-travel-size/v/20b-light,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_846733056040-tarte-Shape-Tape-Ultra-Creamy-Conceal_fdacb8caccbf02126bfa386eb8ebe6f51932c906_1708938284.png,tarte,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
88,,,Rouge Volupte Shine Candy Glaze Lipstick,RM180.00,,[],,,,https://www.sephora.my/products/yves-saint-laurent-rouge-volupte-shine-candy-glaze-lipstick/v/2,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_4935421761734-Yves-Saint-Laurent-Rouge-Volupte-Shi_36ad3b0025e2814046fdd3b353d40d34917d6572_1724056381.png,Yves Saint Laurent,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
89,,,Triclone Skin Tech™ Concealer,RM162.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/haus-labs-by-lady-gaga-triclone-skin-tech-concealer/v/54-deep-neutral,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840073504872-Haus-Labs-by-Lady-Gaga-Triclone-Skin-_f4dd5cdc74dd8fe71443ec46265d776b9143f91a_1744200082.png?o=clean,Haus Labs by Lady Gaga,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
90,,,Tinted Lip Gloss,RM118.00RM94.4020% OFF,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/anastasia-beverly-hills-tinted-lip-gloss/v/cantaloupe,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_689304190640-Anastasia-Beverly-Hills-Tinted-Lip-Gl_8c852b2b4eff14d5d2a42f8a1713a5c491221110_1724057214.png,Anastasia Beverly Hills,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
91,,,Makeup Fixing Mist,RM73.00,,[],,,,https://www.sephora.my/products/pixi-makeup-fixing-mist/v/80ml,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_885190820016-Pixi_MakeupFixingMist_7582dd1fa35ed417670a732607b9dc90356bf7d7_1664026448.png,Pixi,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
